Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D1127,0.341,0.125,0.066,0.296,0.97,0.908,0.2,0.054,0.051,0.046,0.366,0.095,0.06,0.387,0.986,0.963,0.504,0.917,0.007,0.004,0.5,0.0,0.001
D1128,0.394,0.248,0.141,0.472,0.978,0.93,0.325,0.109,0.116,0.098,0.408,0.199,0.102,0.649,0.994,0.966,0.493,0.917,0.007,0.004,0.5,0.0,0.001
D1129,0.164,0.03,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.138,0.0,0.0,0.004,0.506,0.946,0.509,0.855,0.007,0.004,0.6,0.001,0.002
D113,0.21,0.031,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.292,0.0,0.0,0.051,0.52,0.992,0.891,0.955,0.06,0.045,0.75,0.002,0.006
D1130,0.263,0.044,0.016,0.087,0.734,0.556,0.031,0.006,0.004,0.005,0.29,0.009,0.008,0.1,0.94,0.95,0.517,0.866,0.007,0.004,0.6,0.0,0.0
D1131,0.345,0.146,0.074,0.185,0.976,0.915,0.218,0.057,0.06,0.058,0.377,0.116,0.054,0.484,0.986,0.938,0.488,0.847,0.007,0.004,0.6,0.0,0.0
D1132,0.39,0.245,0.133,0.253,0.954,0.916,0.35,0.103,0.103,0.1,0.411,0.203,0.115,0.668,0.994,0.968,0.552,0.892,0.007,0.004,0.6,0.0,0.001
D1133,0.212,0.19,0.066,0.01,0.49,0.0,0.018,0.03,0.016,0.002,0.168,0.001,0.088,0.036,0.794,0.958,0.467,0.916,0.007,0.003,0.4,0.0,0.0
D1134,0.272,0.201,0.073,0.155,0.812,0.666,0.032,0.035,0.022,0.007,0.219,0.013,0.081,0.074,0.914,0.945,0.426,0.897,0.007,0.003,0.4,0.0,0.0
D1135,0.342,0.303,0.132,0.243,0.919,0.862,0.135,0.086,0.068,0.057,0.372,0.106,0.132,0.469,0.987,0.942,0.413,0.89,0.007,0.003,0.4,0.001,0.003
D1136,0.383,0.38,0.194,0.262,0.984,0.946,0.212,0.129,0.107,0.09,0.406,0.184,0.178,0.628,0.994,0.958,0.448,0.907,0.007,0.003,0.4,0.0,0.0
D1137,0.199,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.061,0.5,0.993,0.815,0.931,0.015,0.012,0.8,0.0,0.0
D1138,0.295,0.016,0.007,0.07,0.814,0.506,0.018,0.006,0.006,0.004,0.346,0.01,0.004,0.293,0.816,0.993,0.802,0.943,0.015,0.012,0.8,0.0,0.0
D1139,0.392,0.109,0.057,0.09,0.993,0.935,0.173,0.05,0.054,0.048,0.433,0.098,0.052,0.929,0.987,0.995,0.845,0.953,0.015,0.012,0.8,0.0,0.0
D114,0.321,0.057,0.028,0.029,0.818,0.543,0.037,0.012,0.009,0.013,0.365,0.027,0.006,0.537,0.857,0.996,0.917,0.959,0.06,0.045,0.75,0.0,0.001
D1140,0.418,0.227,0.127,0.106,0.975,0.903,0.311,0.102,0.091,0.109,0.454,0.209,0.081,0.979,0.995,0.991,0.787,0.925,0.015,0.012,0.8,0.0,0.0
D1141,0.203,0.009,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.265,0.0,0.0,0.078,0.75,0.989,0.695,0.959,0.015,0.01,0.7,0.0,0.0
D1142,0.312,0.026,0.013,0.063,0.833,0.635,0.029,0.008,0.008,0.01,0.374,0.016,0.01,0.538,0.944,0.988,0.684,0.955,0.015,0.01,0.7,0.0,0.001
D1143,0.387,0.129,0.068,0.115,0.982,0.913,0.196,0.057,0.057,0.06,0.435,0.118,0.049,0.935,0.991,0.991,0.741,0.954,0.015,0.01,0.7,0.0,0.0
D1144,0.414,0.24,0.134,0.125,0.977,0.896,0.301,0.104,0.102,0.099,0.449,0.197,0.099,0.978,0.994,0.992,0.735,0.962,0.015,0.01,0.7,0.0,0.0
D1145,0.193,0.029,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.253,0.0,0.0,0.007,0.514,0.988,0.732,0.932,0.015,0.011,0.75,0.0,0.0
D1146,0.326,0.051,0.019,0.053,0.869,0.691,0.041,0.01,0.013,0.01,0.385,0.019,0.016,0.523,0.942,0.993,0.804,0.95,0.015,0.011,0.75,0.0,0.0
D1147,0.376,0.137,0.064,0.047,0.934,0.825,0.201,0.051,0.051,0.047,0.429,0.095,0.057,0.922,0.986,0.987,0.734,0.934,0.015,0.011,0.75,0.0,0.001
D1148,0.41,0.242,0.128,0.073,0.978,0.885,0.329,0.098,0.083,0.084,0.445,0.16,0.089,0.978,0.993,0.99,0.756,0.939,0.015,0.011,0.75,0.0,0.001
D1149,0.247,0.186,0.065,0.004,0.422,0.0,0.014,0.028,0.009,0.002,0.275,0.002,0.083,0.118,0.804,0.996,0.828,0.977,0.015,0.009,0.6,0.0,0.0
D115,0.37,0.146,0.07,0.026,0.955,0.555,0.133,0.051,0.033,0.048,0.421,0.11,0.048,0.896,0.944,0.993,0.913,0.949,0.06,0.045,0.75,0.0,0.0
D1150,0.309,0.207,0.075,0.032,0.684,0.459,0.034,0.041,0.021,0.014,0.371,0.027,0.095,0.503,0.946,0.99,0.715,0.956,0.015,0.009,0.6,0.0,0.0
D1151,0.388,0.291,0.126,0.083,0.967,0.859,0.121,0.075,0.057,0.047,0.426,0.089,0.113,0.893,0.988,0.996,0.813,0.978,0.015,0.009,0.6,0.0,0.0
D1152,0.42,0.398,0.201,0.12,0.987,0.919,0.219,0.131,0.113,0.088,0.448,0.187,0.148,0.972,0.994,0.992,0.73,0.967,0.015,0.009,0.6,0.0,0.0
D116,0.396,0.228,0.115,0.046,0.961,0.573,0.179,0.084,0.075,0.078,0.437,0.173,0.072,0.937,0.969,0.997,0.959,0.964,0.06,0.045,0.75,0.001,0.003
D117,0.223,0.025,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.311,0.0,0.0,0.185,0.75,0.99,0.811,0.946,0.06,0.045,0.75,0.002,0.006
D118,0.241,0.032,0.015,0.006,0.367,0.003,0.0,0.0,0.0,0.004,0.315,0.003,0.003,0.179,0.771,0.99,0.814,0.939,0.06,0.045,0.75,0.001,0.002
D119,0.352,0.115,0.058,0.028,0.878,0.558,0.108,0.042,0.081,0.054,0.415,0.101,0.06,0.83,0.957,0.982,0.692,0.926,0.06,0.045,0.75,0.0,0.001
D12,0.494,0.834,0.683,0.101,0.964,0.815,0.234,0.394,0.361,0.193,0.447,0.379,0.221,0.904,0.99,0.974,0.642,0.869,0.03,0.024,0.8,0.0,0.0
D120,0.392,0.229,0.122,0.024,0.887,0.594,0.216,0.096,0.069,0.093,0.439,0.164,0.09,0.961,0.978,0.993,0.858,0.959,0.06,0.045,0.75,0.001,0.002
D121,0.226,0.042,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.321,0.0,0.0,0.173,0.589,0.996,0.951,0.959,0.06,0.048,0.8,0.0,0.0
D122,0.245,0.049,0.023,0.001,0.233,0.003,0.001,0.003,0.003,0.006,0.327,0.012,0.003,0.293,0.745,0.99,0.867,0.915,0.06,0.048,0.8,0.001,0.001
D123,0.374,0.141,0.072,0.015,0.919,0.546,0.114,0.051,0.039,0.045,0.419,0.096,0.069,0.899,0.952,0.998,0.996,0.96,0.06,0.048,0.8,0.0,0.001
D124,0.395,0.248,0.128,0.022,0.949,0.633,0.174,0.099,0.09,0.087,0.44,0.176,0.104,0.946,0.97,0.987,0.802,0.915,0.06,0.048,0.8,0.003,0.009
D125,0.268,0.514,0.067,0.003,0.666,0.0,0.008,0.033,0.009,0.006,0.281,0.003,0.057,0.119,0.779,0.984,0.73,0.943,0.06,0.036,0.6,0.001,0.002
D126,0.284,0.542,0.066,0.002,0.684,0.107,0.016,0.042,0.015,0.006,0.291,0.003,0.096,0.2,0.804,0.986,0.751,0.942,0.06,0.036,0.6,0.0,0.001
D127,0.367,0.557,0.112,0.016,0.884,0.463,0.079,0.075,0.024,0.051,0.412,0.11,0.122,0.848,0.958,0.984,0.752,0.936,0.06,0.036,0.6,0.0,0.0
D128,0.404,0.651,0.187,0.039,0.928,0.573,0.141,0.119,0.075,0.088,0.433,0.191,0.173,0.899,0.97,0.987,0.782,0.947,0.06,0.036,0.6,0.0,0.001
D129,0.369,0.57,0.381,0.038,0.652,0.281,0.126,0.249,0.193,0.103,0.401,0.2,0.107,0.637,0.977,0.961,0.538,0.885,0.015,0.012,0.8,0.0,0.001
D13,0.501,0.94,0.725,0.121,0.967,0.821,0.236,0.355,0.325,0.169,0.439,0.31,0.236,0.89,0.99,0.988,0.739,0.925,0.03,0.024,0.8,0.0,0.0
D130,0.414,0.595,0.416,0.163,0.922,0.64,0.142,0.287,0.233,0.107,0.404,0.201,0.127,0.685,0.981,0.961,0.544,0.882,0.015,0.012,0.8,0.0,0.0
D131,0.439,0.636,0.46,0.205,0.964,0.87,0.147,0.294,0.236,0.13,0.419,0.254,0.134,0.727,0.988,0.958,0.552,0.859,0.015,0.012,0.8,0.001,0.001
D132,0.464,0.685,0.507,0.255,0.985,0.915,0.17,0.31,0.267,0.155,0.434,0.31,0.176,0.818,0.993,0.966,0.564,0.875,0.015,0.012,0.8,0.0,0.001
D133,0.447,0.613,0.421,0.123,0.954,0.861,0.139,0.24,0.176,0.168,0.441,0.33,0.2,0.861,0.994,0.974,0.618,0.896,0.015,0.012,0.8,0.0,0.0
D134,0.461,0.632,0.437,0.186,0.96,0.864,0.136,0.258,0.212,0.168,0.444,0.342,0.26,0.887,0.994,0.979,0.66,0.898,0.015,0.012,0.8,0.001,0.003
D135,0.477,0.713,0.531,0.161,0.973,0.864,0.171,0.291,0.257,0.19,0.449,0.373,0.258,0.878,0.996,0.981,0.664,0.914,0.015,0.012,0.8,0.0,0.0
D136,0.486,0.74,0.548,0.181,0.964,0.893,0.167,0.296,0.263,0.204,0.452,0.396,0.275,0.919,0.996,0.982,0.656,0.922,0.015,0.012,0.8,0.001,0.003
D137,0.381,0.725,0.37,0.029,0.727,0.415,0.094,0.237,0.199,0.107,0.4,0.206,0.113,0.651,0.978,0.96,0.557,0.888,0.015,0.01,0.7,0.0,0.0
D138,0.397,0.73,0.366,0.049,0.918,0.63,0.092,0.239,0.167,0.095,0.402,0.167,0.09,0.694,0.985,0.962,0.545,0.882,0.015,0.01,0.7,0.0,0.0
D139,0.426,0.77,0.415,0.048,0.952,0.848,0.104,0.249,0.209,0.125,0.418,0.236,0.154,0.728,0.99,0.96,0.544,0.885,0.015,0.01,0.7,0.001,0.002
D14,0.513,0.953,0.811,0.127,0.967,0.806,0.262,0.409,0.397,0.2,0.447,0.358,0.239,0.913,0.991,0.981,0.667,0.904,0.03,0.024,0.8,0.0,0.0
D140,0.459,0.819,0.507,0.087,0.973,0.863,0.132,0.307,0.257,0.163,0.439,0.337,0.184,0.86,0.994,0.966,0.576,0.895,0.015,0.01,0.7,0.001,0.003
D141,0.461,0.885,0.722,0.066,0.958,0.721,0.286,0.348,0.321,0.129,0.413,0.261,0.179,0.719,0.987,0.965,0.568,0.879,0.015,0.01,0.7,0.0,0.0
D142,0.472,0.891,0.75,0.068,0.97,0.821,0.273,0.393,0.351,0.132,0.416,0.257,0.175,0.74,0.989,0.967,0.559,0.899,0.015,0.01,0.7,0.0,0.0
D143,0.488,0.919,0.796,0.126,0.966,0.893,0.277,0.379,0.376,0.134,0.427,0.27,0.163,0.809,0.992,0.972,0.602,0.906,0.015,0.01,0.7,0.001,0.002
D144,0.511,0.933,0.843,0.269,0.988,0.937,0.283,0.393,0.393,0.175,0.44,0.354,0.221,0.848,0.994,0.968,0.588,0.891,0.015,0.01,0.7,0.001,0.002
D145,0.413,0.536,0.35,0.009,0.652,0.221,0.122,0.248,0.182,0.14,0.46,0.27,0.107,0.957,0.991,0.999,0.958,0.978,0.03,0.025,0.85,0.0,0.0
D146,0.411,0.534,0.344,0.01,0.676,0.31,0.113,0.24,0.172,0.149,0.465,0.275,0.119,0.964,0.992,0.993,0.829,0.946,0.03,0.025,0.85,0.0,0.0
D147,0.47,0.634,0.436,0.027,0.936,0.718,0.145,0.282,0.24,0.171,0.468,0.328,0.134,0.988,0.994,0.998,0.95,0.978,0.03,0.025,0.85,0.0,0.0
D148,0.478,0.705,0.522,0.04,0.949,0.796,0.162,0.318,0.257,0.171,0.469,0.328,0.157,0.997,0.995,0.991,0.797,0.94,0.03,0.025,0.85,0.004,0.01
D149,0.468,0.628,0.401,0.023,0.942,0.785,0.126,0.239,0.213,0.2,0.475,0.407,0.179,0.997,0.996,0.992,0.837,0.945,0.03,0.025,0.85,0.0,0.0
D15,0.501,0.94,0.746,0.096,0.97,0.839,0.24,0.352,0.29,0.188,0.447,0.379,0.215,0.919,0.991,0.981,0.675,0.889,0.03,0.024,0.8,0.001,0.001
D150,0.474,0.627,0.416,0.038,0.978,0.843,0.131,0.224,0.167,0.206,0.477,0.421,0.206,0.999,0.996,0.993,0.858,0.954,0.03,0.025,0.85,0.0,0.0
D151,0.477,0.668,0.451,0.028,0.973,0.86,0.145,0.264,0.249,0.192,0.476,0.396,0.2,1.0,0.996,0.988,0.776,0.922,0.03,0.025,0.85,0.0,0.001
D152,0.506,0.791,0.583,0.04,0.99,0.876,0.179,0.306,0.278,0.23,0.479,0.452,0.24,0.997,0.997,0.993,0.852,0.946,0.03,0.025,0.85,0.0,0.001
D153,0.422,0.722,0.358,0.007,0.731,0.284,0.088,0.237,0.194,0.143,0.461,0.266,0.133,0.957,0.99,0.996,0.908,0.96,0.03,0.024,0.8,0.0,0.001
D154,0.446,0.765,0.37,0.007,0.899,0.561,0.089,0.255,0.219,0.149,0.462,0.282,0.146,0.985,0.992,0.992,0.828,0.946,0.03,0.024,0.8,0.0,0.0
D155,0.483,0.808,0.468,0.027,0.955,0.813,0.113,0.29,0.275,0.173,0.467,0.342,0.193,0.982,0.994,0.996,0.918,0.961,0.03,0.024,0.8,0.0,0.0
D156,0.48,0.864,0.513,0.019,0.966,0.791,0.12,0.29,0.245,0.175,0.472,0.339,0.193,0.999,0.995,0.99,0.788,0.947,0.03,0.024,0.8,0.001,0.002
D157,0.49,0.9,0.667,0.012,0.961,0.657,0.221,0.357,0.322,0.154,0.464,0.299,0.151,0.978,0.993,0.991,0.813,0.947,0.03,0.025,0.85,0.0,0.0
D158,0.495,0.857,0.634,0.02,0.967,0.721,0.223,0.378,0.3,0.155,0.463,0.321,0.163,0.991,0.994,0.994,0.853,0.952,0.03,0.025,0.85,0.0,0.0
D159,0.508,0.867,0.648,0.02,0.943,0.77,0.245,0.352,0.337,0.179,0.466,0.358,0.197,0.984,0.994,0.997,0.936,0.972,0.03,0.025,0.85,0.002,0.006
D16,0.522,0.968,0.878,0.069,0.949,0.8,0.275,0.418,0.394,0.196,0.454,0.364,0.269,0.952,0.992,0.987,0.729,0.919,0.03,0.024,0.8,0.003,0.008
D160,0.517,0.919,0.766,0.031,0.976,0.861,0.26,0.391,0.345,0.182,0.47,0.355,0.181,0.994,0.995,0.991,0.809,0.931,0.03,0.025,0.85,0.005,0.013
D161,0.294,0.233,0.128,0.022,0.578,0.194,0.036,0.079,0.034,0.058,0.353,0.106,0.061,0.443,0.925,0.963,0.548,0.888,0.015,0.012,0.8,0.0,0.001
D162,0.335,0.254,0.143,0.164,0.822,0.543,0.049,0.097,0.055,0.063,0.36,0.13,0.048,0.463,0.945,0.963,0.556,0.886,0.015,0.012,0.8,0.0,0.0
D163,0.379,0.323,0.19,0.215,0.964,0.87,0.086,0.124,0.087,0.087,0.392,0.173,0.082,0.567,0.979,0.96,0.557,0.859,0.015,0.012,0.8,0.001,0.001
D164,0.415,0.412,0.255,0.263,0.985,0.915,0.132,0.164,0.116,0.116,0.418,0.227,0.122,0.749,0.99,0.969,0.581,0.884,0.015,0.012,0.8,0.0,0.001
D165,0.363,0.304,0.171,0.044,0.861,0.615,0.073,0.122,0.07,0.107,0.4,0.203,0.101,0.631,0.979,0.971,0.602,0.895,0.015,0.012,0.8,0.0,0.0
D166,0.373,0.308,0.175,0.087,0.899,0.678,0.072,0.131,0.081,0.097,0.402,0.197,0.082,0.66,0.983,0.978,0.644,0.892,0.015,0.012,0.8,0.001,0.003
D167,0.413,0.408,0.249,0.131,0.951,0.858,0.121,0.167,0.122,0.131,0.419,0.252,0.143,0.79,0.99,0.98,0.637,0.906,0.015,0.012,0.8,0.0,0.0
D168,0.434,0.478,0.301,0.218,0.966,0.897,0.145,0.178,0.142,0.146,0.428,0.282,0.209,0.781,0.992,0.982,0.657,0.917,0.015,0.012,0.8,0.001,0.003
D169,0.3,0.4,0.132,0.022,0.604,0.173,0.034,0.09,0.051,0.063,0.358,0.125,0.036,0.415,0.941,0.967,0.572,0.899,0.015,0.01,0.7,0.0,0.0
D17,0.447,0.675,0.438,0.006,0.818,0.287,0.15,0.307,0.239,0.173,0.467,0.316,0.155,0.991,0.987,0.993,0.898,0.964,0.06,0.051,0.85,0.002,0.006
D170,0.341,0.415,0.132,0.037,0.876,0.71,0.037,0.099,0.048,0.058,0.366,0.104,0.049,0.461,0.965,0.969,0.56,0.896,0.015,0.01,0.7,0.0,0.0
D171,0.373,0.476,0.19,0.037,0.912,0.807,0.074,0.124,0.1,0.093,0.394,0.191,0.085,0.606,0.983,0.961,0.555,0.887,0.015,0.01,0.7,0.001,0.002
D172,0.417,0.589,0.292,0.08,0.972,0.867,0.121,0.181,0.154,0.136,0.426,0.284,0.136,0.733,0.992,0.975,0.604,0.907,0.015,0.01,0.7,0.001,0.003
D173,0.399,0.732,0.479,0.068,0.896,0.612,0.2,0.279,0.272,0.065,0.366,0.134,0.099,0.513,0.962,0.963,0.537,0.87,0.015,0.01,0.7,0.0,0.0
D174,0.414,0.75,0.48,0.079,0.945,0.7,0.185,0.29,0.296,0.067,0.373,0.134,0.085,0.552,0.974,0.973,0.583,0.911,0.015,0.01,0.7,0.0,0.0
D175,0.445,0.803,0.545,0.136,0.972,0.849,0.209,0.312,0.301,0.098,0.403,0.204,0.131,0.666,0.988,0.974,0.59,0.891,0.015,0.01,0.7,0.001,0.002
D176,0.477,0.827,0.624,0.277,0.988,0.887,0.231,0.337,0.313,0.14,0.425,0.288,0.167,0.763,0.992,0.981,0.637,0.89,0.015,0.01,0.7,0.001,0.002
D177,0.342,0.222,0.122,0.005,0.572,0.057,0.037,0.082,0.039,0.083,0.438,0.163,0.049,0.854,0.969,0.998,0.957,0.979,0.03,0.025,0.85,0.0,0.0
D178,0.347,0.221,0.119,0.008,0.519,0.354,0.03,0.069,0.04,0.084,0.442,0.163,0.055,0.828,0.974,0.995,0.863,0.956,0.03,0.025,0.85,0.0,0.0
D179,0.424,0.324,0.187,0.033,0.963,0.831,0.089,0.137,0.107,0.115,0.453,0.227,0.069,0.972,0.987,0.998,0.949,0.979,0.03,0.025,0.85,0.0,0.0
D18,0.453,0.67,0.442,0.01,0.866,0.391,0.157,0.293,0.245,0.164,0.468,0.299,0.164,0.982,0.989,0.996,0.916,0.956,0.06,0.051,0.85,0.0,0.001
D180,0.426,0.395,0.238,0.039,0.922,0.8,0.111,0.167,0.112,0.126,0.457,0.263,0.103,0.988,0.991,0.992,0.812,0.943,0.03,0.025,0.85,0.004,0.01
D181,0.399,0.31,0.167,0.011,0.9,0.57,0.065,0.109,0.085,0.116,0.456,0.233,0.085,0.973,0.989,0.994,0.868,0.941,0.03,0.025,0.85,0.0,0.0
D182,0.403,0.312,0.173,0.017,0.901,0.699,0.068,0.112,0.079,0.115,0.457,0.225,0.082,0.978,0.99,0.992,0.818,0.945,0.03,0.025,0.85,0.0,0.0
D183,0.413,0.362,0.201,0.011,0.912,0.781,0.09,0.145,0.091,0.127,0.46,0.243,0.101,0.993,0.992,0.988,0.778,0.913,0.03,0.025,0.85,0.0,0.001
D184,0.458,0.533,0.337,0.032,0.982,0.863,0.164,0.193,0.175,0.172,0.469,0.333,0.142,0.997,0.995,0.993,0.841,0.949,0.03,0.025,0.85,0.0,0.001
D185,0.349,0.401,0.126,0.006,0.619,0.075,0.03,0.09,0.06,0.084,0.441,0.158,0.043,0.884,0.973,0.995,0.888,0.951,0.03,0.024,0.8,0.0,0.001
D186,0.388,0.439,0.141,0.007,0.925,0.504,0.039,0.104,0.081,0.086,0.445,0.169,0.061,0.936,0.982,0.992,0.83,0.946,0.03,0.024,0.8,0.0,0.0
D187,0.423,0.517,0.208,0.025,0.955,0.782,0.074,0.148,0.104,0.123,0.455,0.243,0.088,0.967,0.989,0.992,0.831,0.948,0.03,0.024,0.8,0.0,0.0
D188,0.44,0.624,0.278,0.02,0.97,0.781,0.104,0.181,0.154,0.134,0.463,0.266,0.134,0.996,0.993,0.991,0.797,0.949,0.03,0.024,0.8,0.001,0.002
D189,0.438,0.757,0.444,0.009,0.9,0.51,0.17,0.284,0.228,0.095,0.442,0.185,0.1,0.912,0.98,0.992,0.823,0.953,0.03,0.024,0.8,0.0,0.0
D19,0.475,0.743,0.45,0.017,0.973,0.561,0.148,0.301,0.233,0.179,0.472,0.367,0.224,1.0,0.99,0.993,0.893,0.938,0.06,0.051,0.85,0.0,0.0
D190,0.443,0.711,0.419,0.018,0.943,0.593,0.16,0.282,0.228,0.097,0.443,0.19,0.103,0.946,0.988,0.994,0.834,0.944,0.03,0.024,0.8,0.0,0.0
D191,0.456,0.716,0.448,0.018,0.888,0.672,0.193,0.293,0.236,0.122,0.453,0.245,0.137,0.963,0.991,0.995,0.859,0.943,0.03,0.024,0.8,0.002,0.006
D192,0.483,0.806,0.562,0.04,0.982,0.86,0.213,0.318,0.239,0.147,0.462,0.281,0.16,0.996,0.993,0.99,0.784,0.933,0.03,0.024,0.8,0.005,0.013
D193,0.2,0.068,0.034,0.001,0.006,0.0,0.0,0.0,0.0,0.003,0.252,0.004,0.0,0.113,0.703,0.962,0.548,0.887,0.015,0.012,0.8,0.0,0.001
D194,0.275,0.082,0.042,0.216,0.748,0.448,0.014,0.006,0.007,0.007,0.276,0.016,0.003,0.163,0.835,0.951,0.531,0.869,0.015,0.012,0.8,0.0,0.0
D195,0.344,0.163,0.088,0.268,0.961,0.878,0.097,0.046,0.055,0.042,0.361,0.094,0.04,0.372,0.967,0.947,0.528,0.837,0.015,0.012,0.8,0.001,0.001
D196,0.389,0.262,0.148,0.326,0.99,0.939,0.18,0.093,0.081,0.078,0.4,0.152,0.087,0.624,0.987,0.959,0.555,0.87,0.015,0.012,0.8,0.0,0.001
D197,0.229,0.103,0.052,0.008,0.225,0.043,0.009,0.022,0.006,0.017,0.302,0.034,0.009,0.207,0.881,0.964,0.536,0.899,0.015,0.01,0.7,0.0,0.0
D198,0.24,0.104,0.054,0.012,0.293,0.106,0.012,0.022,0.009,0.013,0.303,0.031,0.012,0.225,0.887,0.973,0.585,0.91,0.015,0.01,0.7,0.001,0.003
D199,0.342,0.198,0.108,0.095,0.891,0.794,0.098,0.066,0.054,0.052,0.371,0.1,0.034,0.485,0.974,0.973,0.593,0.912,0.015,0.01,0.7,0.0,0.0
D2,0.414,0.641,0.426,0.061,0.818,0.475,0.161,0.287,0.266,0.143,0.421,0.263,0.161,0.678,0.973,0.967,0.608,0.893,0.03,0.024,0.8,0.002,0.005
D20,0.49,0.784,0.513,0.027,0.952,0.71,0.177,0.296,0.257,0.181,0.47,0.367,0.209,0.994,0.991,0.995,0.923,0.964,0.06,0.051,0.85,0.001,0.003
D200,0.391,0.293,0.167,0.26,0.966,0.888,0.169,0.107,0.09,0.099,0.402,0.196,0.078,0.655,0.988,0.978,0.607,0.926,0.015,0.01,0.7,0.001,0.003
D201,0.227,0.143,0.037,0.01,0.475,0.0,0.001,0.007,0.001,0.006,0.265,0.013,0.0,0.107,0.77,0.966,0.571,0.9,0.015,0.01,0.7,0.0,0.0
D202,0.243,0.157,0.04,0.024,0.54,0.137,0.008,0.01,0.012,0.01,0.286,0.018,0.016,0.155,0.861,0.951,0.521,0.868,0.015,0.01,0.7,0.0,0.0
D203,0.334,0.241,0.098,0.059,0.901,0.764,0.088,0.069,0.046,0.053,0.364,0.106,0.043,0.418,0.97,0.963,0.559,0.889,0.015,0.01,0.7,0.001,0.002
D204,0.398,0.387,0.194,0.121,0.972,0.867,0.173,0.133,0.134,0.113,0.415,0.239,0.122,0.694,0.99,0.973,0.593,0.903,0.015,0.01,0.7,0.001,0.003
D205,0.301,0.58,0.217,0.051,0.731,0.339,0.09,0.152,0.094,0.02,0.266,0.042,0.034,0.231,0.889,0.943,0.434,0.878,0.015,0.009,0.6,0.0,0.0
D206,0.327,0.605,0.21,0.105,0.842,0.642,0.08,0.151,0.101,0.02,0.278,0.039,0.048,0.261,0.927,0.945,0.443,0.883,0.015,0.009,0.6,0.0,0.0
D207,0.379,0.677,0.277,0.139,0.927,0.778,0.132,0.187,0.13,0.058,0.372,0.116,0.1,0.506,0.98,0.957,0.484,0.883,0.015,0.009,0.6,0.001,0.002
D208,0.42,0.71,0.365,0.272,0.967,0.843,0.174,0.227,0.199,0.099,0.406,0.204,0.121,0.67,0.989,0.962,0.506,0.894,0.015,0.009,0.6,0.001,0.002
D209,0.256,0.066,0.034,0.0,0.01,0.0,0.0,0.0,0.0,0.006,0.374,0.013,0.0,0.488,0.809,0.998,0.954,0.971,0.03,0.025,0.85,0.0,0.0
D21,0.42,0.573,0.359,0.006,0.71,0.143,0.11,0.266,0.2,0.188,0.474,0.391,0.152,1.0,0.991,0.986,0.806,0.91,0.06,0.051,0.85,0.002,0.006
D210,0.265,0.07,0.035,0.014,0.318,0.007,0.001,0.003,0.0,0.009,0.38,0.021,0.001,0.5,0.849,0.99,0.785,0.936,0.03,0.025,0.85,0.0,0.0
D211,0.389,0.164,0.088,0.041,0.915,0.794,0.095,0.051,0.058,0.046,0.427,0.096,0.06,0.912,0.971,0.998,0.954,0.979,0.03,0.025,0.85,0.0,0.0
D212,0.396,0.227,0.124,0.056,0.922,0.803,0.134,0.079,0.073,0.052,0.435,0.116,0.054,0.943,0.979,0.993,0.844,0.946,0.03,0.025,0.85,0.004,0.01
D213,0.283,0.104,0.051,0.001,0.282,0.0,0.009,0.019,0.009,0.022,0.402,0.046,0.009,0.74,0.928,0.989,0.773,0.934,0.03,0.025,0.85,0.0,0.0
D214,0.309,0.112,0.057,0.005,0.575,0.158,0.024,0.027,0.019,0.025,0.404,0.04,0.022,0.767,0.934,0.99,0.791,0.934,0.03,0.025,0.85,0.0,0.0
D215,0.37,0.17,0.087,0.015,0.87,0.754,0.069,0.058,0.045,0.043,0.424,0.088,0.034,0.918,0.972,0.988,0.767,0.922,0.03,0.025,0.85,0.0,0.001
D216,0.425,0.337,0.194,0.035,0.979,0.849,0.197,0.119,0.118,0.097,0.449,0.207,0.112,0.985,0.989,0.994,0.838,0.941,0.03,0.025,0.85,0.0,0.001
D217,0.277,0.143,0.035,0.003,0.463,0.0,0.0,0.004,0.001,0.012,0.382,0.022,0.003,0.542,0.848,0.993,0.852,0.945,0.03,0.024,0.8,0.0,0.001
D218,0.322,0.168,0.045,0.006,0.697,0.387,0.007,0.015,0.006,0.018,0.402,0.033,0.018,0.769,0.928,0.991,0.811,0.938,0.03,0.024,0.8,0.0,0.0
D219,0.382,0.252,0.095,0.03,0.918,0.725,0.074,0.058,0.043,0.054,0.432,0.112,0.075,0.919,0.976,0.992,0.835,0.949,0.03,0.024,0.8,0.0,0.0
D22,0.446,0.589,0.367,0.009,0.913,0.406,0.122,0.269,0.206,0.181,0.472,0.358,0.197,0.997,0.991,0.991,0.861,0.932,0.06,0.051,0.85,0.001,0.002
